ID,coup_for,but_for,but_for_autre,plant_for,coup_mar,but_mar,but_mar_autre,plant_mar,coup_sec,but_sec,but_sec_autre,plant_sec,coup_jac2,but_jac2,but_jac2_autre,plant_jac2,coup_jac2a5,but_jac2a5,but_jac2a5_autre,plant_jac2a5,coup_jac5,but_jac5,but_jac5_autre,plant_jac5,coup_jac10,but_jac10,but_jac10_autre,plant_jac10
1,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc,mais,patate douce et arachide",0,,null,null
2,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,2,a,null,Manioc,0,,null,null
3,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc,0,,null,null,0,,null,null
4,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc, mais, haricot, piment fort",0,,null,null,0,,null,null
5,0,,null,null,0,,null,null,0,,null,null,0.5,a bc,null,"Manioc,patate douce,arachide",0.5,a bc,null,null,0,,null,null,0,,null,null
6,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
7,1.5,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1.5,a,null,Manioc,0,,null,null
8,0,,null,null,0,,null,null,0,,null,null,4,a bc bo c,null,Voir la liste plus haut,0,,null,null,0,,null,null,0,,null,null
9,0,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
10,0,,null,null,0,,null,null,1,a,null,Voir plus haut,0,,null,null,0,,null,null,0,,null,null,0,,null,null
11,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et maïs,0,,null,null
12,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, maïs et patate douce",0,,null,null
13,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Agriculture, manioc et arachides",0,,null,null
14,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a bc,null,"Manioc,mais,arachide",0,,null,null
15,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a bc,null,"Mais manioc,patate douce",0,,null,null
16,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,0.5,a bc,null,Manioc,null,,null,null
17,0,,null,null,0,,null,null,0,,null,null,1.5,a,null,Voir ci haut,0,,null,null,0,,null,null,0,,null,null
18,2,a,null,Banane' Manioc et Riz,0.25,a,null,Piment,0,,null,null,null,,null,null,0.75,a,null,Manioc et Maiis,0,,null,null,0,,null,null
