"","ID","genre","rel","etat.civil","ethnie","clan","age","edu","an_edu","occ1","occ2","naissance","nb.enfant","demo.buya","demo.deces","demo.deces_age"
"1",1,"m","c","m","b","is",51,"s",9,"a","p","autre",7,"1992","non","null"
"2",2,"m","c","m","b","is",50,"s",5,"a","autre","autre",7,"1997","oui","2"
"3",3,"m","c","ce","b","is",26,"s",9,"a","p","autre",4,"2002","non","null"
"4",4,"m","c","m","b","is",29,"s",10,"a","p","autre",4,"1996","non","null"
"5",5,"f","c","d","b","autre",52,"p",3,"a","mo","autre",5,"2003","non","null"
"6",6,"m","c","m","b","is",41,"s",9,"a","p","autre",3,"2011","oui","7"
"7",7,"m","c","m","b","is",41,"s",9,"a","p","autre",4,"null","oui","25"
"8",8,"f","e","m","b","autre",35,"s",10,"a","v","autre",5,"1998","oui","63"
"9",9,"m","c","m","b","is",41,"s",12,"a","p","autre",5,"1994","oui","53"
"10",10,"m","c","m","b","is",17,"s",8,"autre","a","autre",0,"1987","oui","1"
"11",11,"m","c","m","b","is",34,"p",6,"a","p","autre",3,"1973","non","null"
"12",12,"m","c","m","b","is",29,"s",8,"a","p","autre",3,"1997","non","null"
"13",13,"m","c","m","b","is",23,"s",11,"autre","v","autre",0,"1990","non","null"
"14",14,"m","c","m","b","autre",52,"s",12,"autre","a","autre",9,"1980","oui","28"
"15",15,"f","c","v","b","autre",56,"a",0,"a","m","autre",8,"1997","non","null"
"16",16,"m","c","m","b","is",60,"s",8,"a","a","buya",7,"1997","non","null"
"17",17,"m","fi","m","b","is",30,"s",12,"a","autre","buya",6,"1945","non","null"
"18",18,"m","c","m","b","autre",61,"p",4,"a","a","autre",9,"1990","non","null"
"19",19,"m","c","m","b","is",31,"s",12,"autre","a","autre",4,"2006","non","null"
"20",20,"m","c","m","b","is",36,"s",12,"autre","a","autre",7,"2000","non","null"
"21",21,"m","c","m","b","is",35,"s",12,"a","autre","autre",6,"1995","oui","60"
"22",22,"m","c","m","b","is",51,"s",12,"autre","a","autre",7,"1991","oui","46"
"23",23,"f","c","d","b","autre",52,"p",3,"a","mo","autre",5,"2003","non","null"
"24",24,"m","c","m","b","is",61,"p",2,"a","p","autre",9,"1975","oui","9"
"25",25,"m","c","m","b","is",67,"p",4,"autre","a","autre",9,"1984","oui","3"
"26",26,"m","c","m","b","is",40,"s",12,"autre","a","autre",9,"1992","oui","30"
"27",27,"m","c","m","b","autre",61,"a",0,"p","a","autre",1,"1979","non","null"
"28",28,"m","c","m","p","autre",63,"a",0,"a","p","autre",5,"1983","non","null"
"29",29,"f","c","d","p","autre",49,"a",0,"a","m","autre",2,"2007","non","null"
"30",30,"f","c","v","b","is",50,"a",0,"a","m","autre",6,"1986","non","null"
"31",31,"m","c","m","p","is",42,"p",3,"a","p","autre",6,"1975","oui","1"
"32",32,"f","c","s","b","is",55,"p",1,"a","m","autre",4,"1996","non","null"
"33",33,"m","c","m","p","is",38,"p",5,"a","p","autre",4,"2005","oui","29"
"34",34,"m","c","m","b","is",43,"s",9,"a","p","autre",3,"null","non","null"
"35",35,"m","c","m","b","is",33,"s",12,"a","p","autre",5,"1983","non","null"
"36",36,"m","c","m","b","autre",32,"s",12,"a","v","buya",7,"null","non","null"
"37",37,"m","c","m","b","autre",28,"s",9,"a","v","autre",2,"1988","non","null"
"38",38,"m","c","m","b","autre",32,"s",12,"autre","a","autre",6,"2006","non","null"
"39",39,"m","c","m","b","autre",43,"s",12,"autre","a","autre",6,"2000","non","null"
"40",40,"m","c","m","b","d",44,"s",11,"a","p","autre",3,"1997","non","null"
"41",41,"m","c","m","b","autre",45,"s",11,"a","a","autre",3,"2000","non","null"
"42",42,"f","c","d","b","is",51,"p",4,"a","m","buya",0,"null","non","null"
"43",43,"m","c","m","b","is",48,"s",8,"a","a","autre",7,"2004","non","null"
"44",44,"f","c","ce","b","is",41,"p",6,"a","m","buya",5,"null","non","null"
"45",45,"m","c","m","p","is",53,"p",5,"autre","a","autre",3,"1973","non","null"
"46",46,"m","c","m","b","is",26,"s",11,"a","v","buya",3,"null","non","null"
"47",47,"m","c","m","p","is",21,"p",3,"mo","a","buya",1,"null","non","null"
"48",48,"m","c","m","b","is",30,"p",6,"a","autre","buya",3,"2005","non","null"
"49",49,"f","fi","d","b","is",26,"p",6,"a","v","autre",4,"1993","non","null"
"50",50,"m","c","m","b","is",51,"s",12,"autre","a","autre",7,"1996","oui","1"
"51",51,"f","c","co","b","autre",24,"p",6,"a","v","buya",3,"null","non","null"
"52",52,"m","c","m","b","autre",82,"a",0,"autre","autre","autre",3,"1963","non","null"
"53",53,"m","c","m","b","autre",19,"s",11,"e","a","buya",1,"null","non","null"
"54",54,"f","c","d","b","autre",57,"a",0,"a","m","autre",4,"1978","non","null"
"55",55,"m","c","m","b","autre",32,"s",11,"a","b","buya",4,"null","non","null"
"56",56,"m","c","m","b","autre",61,"p",6,"a","autre","autre",4,"2004","non","null"
"57",57,"m","c","m","b","is",61,"s",8,"a","a","autre",5,"1985","oui","90"
"58",58,"f","c","m","b","autre",36,"p",6,"a","v","autre",7,"1995","non","null"
"59",59,"m","c","m","b","autre",46,"s",12,"a","autre","autre",7,"1970","non","null"
"60",60,"m","c","m","p","is",39,"s",8,"mo","mo","autre",5,"2013","non","null"
"61",61,"f","c","ce","p","is",25,"a",0,"mo","mo","autre",1,"2010","oui","30"
"62",62,"m","c","ce","b","is",20,"s",7,"a","a","autre",0,"2010","non","null"
"63",64,"m","c","m","p","is",32,"p",4,"mo","autre","autre",4,"2001","oui","3"
"64",65,"f","c","v","b","is",58,"p",6,"a","v","autre",17,"2009","oui","80"
"65",66,"m","c","m","b","is",39,"s",11,"autre","autre","autre",7,"1994","oui","7"
"66",67,"m","c","m","p","is",28,"a",0,"mo","p","autre",0,"2007","non","null"
"67",68,"m","c","m","p","is",35,"p",2,"ef","ef","autre",1,"1998","non","null"
"68",69,"m","c","m","p","is",27,"p",4,"ef","a","autre",0,"2013","non","null"
"69",70,"m","c","m","p","is",25,"a",0,"mo","mo","autre",1,"2012","non","null"
"70",71,"m","c","m","b","is",32,"s",11,"a","a","autre",4,"2006","non","null"
"71",72,"m","c","m","b","is",20,"p",5,"autre","a","buya",1,"null","non","null"
"72",73,"f","c","v","b","is",70,"a",0,"a","m","buya",13,"null","non","null"
"73",74,"f","c","d","b","autre",56,"p",5,"a","v","autre",9,"2004","non","null"
"74",75,"m","c","m","b","autre",26,"s",9,"a","v","buya",3,"null","non","null"
"75",76,"m","c","m","b","autre",26,"a",0,"a","p","autre",2,"2007","non","null"
"76",77,"m","c","m","b","is",32,"s",7,"a","autre","buya",4,"null","non","null"
"77",78,"m","c","m","b","autre",68,"a",0,"a","p","autre",7,"1969","non","null"
"78",79,"m","c","m","b","is",48,"s",10,"a","autre","autre",13,"1993","oui","53"
