ID,material:end_chauf,material:autre_end_chauf,material:dist_chauf,material:droit_chauf,material:usage_chauf,material:oui_oeuvre,material:end_oeuvre,material:autre_end_oeuvre,material:dist_oeuvre,material:droit_oeuvre,material:usage_oeuvre,material:oui_charbon,material:end_charbon,material:autre_end_charbon,material:dist_charbon,material:droit_charbon,material:usage_charbon,material:oui_medicinal,material:end_medicinal,material:autre_end_medicinal,material:dist_medicinal,material:droit_medicinal,material:usage_medicinal,material:oui_viande,material:end_viande,material:autre_end_viande,material:dist_viande,material:droit_viande,material:usage_viande,material:oui_poisson,material:end_poisson,material:autre_end_poisson,material:dist_poisson,material:droit_poisson,material:usage_poisson,material:dist_eau,material:droit_eau,material:oui_Fumbwa,material:end_Fumbwa,material:autre_end_Fumbwa,material:dist_Fumbwa,material:droit_Fumbwa,material:usage_Fumbwa,material:oui_feuille,material:end_feuille,material:autre_end_feuille,material:dist_feuille,material:droit_feuille,material:usage_feuille,material:oui_emballage,material:end_emballage,material:autre_end_emballage,material:dist_emballage,material:droit_emballage,material:usage_emballage,material:oui_kola,material:end_kola,material:autre_end_kola,material:dist_kola,material:droit_kola,material:usage_kola,material:oui_chenille,material:end_chenille,material:autre_end_chenille,material:dist_chenille,material:droit_chenille,material:usage_chenille,material:oui_miel,material:end_miel,material:autre_end_miel,material:dist_miel,material:droit_miel,material:usage_miel,pfnl
1,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,oui,Marécage,null,plus2,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f,oui,j,null,plus2,a,f,non,,null,null,,,oui,j,null,plus1,a,f v,non,,null,null,,,Non
2,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,Non
3,c fp,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,c fp fs fm,null,min30a60,c pa,f,non,,null,null,,,oui,Foret marécageuse avec cours d'eau,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f v,non,,null,null,,,non,,null,null,,,oui,c fp j fm,null,plus2,a,f v d,non,,null,null,,,"Oui , liane, feuilles sauvages comestible"
4,c,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,c fm,null,plus1,a,f,non,,null,null,,,oui,Marecage,null,plus2,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f,oui,fp j,null,plus6,pa,f v,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
5,c fp fs j fm,null,plus2,a,f d,non,,null,null,,,non,,null,null,,,oui,fp j fm,null,plus2,a,f v d,non,,null,null,,,non,null,null,null,,,plus1,a,non,,null,null,,,non,,null,null,,,oui,c j fm,null,plus1,a,f d,oui,fs j,null,plus2,a,f d,non,,null,null,,,non,,null,null,,,Non
6,c fp fs j fm,null,minutes30,a,f v,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a,f v d,non,,null,null,,,oui,Marécages,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f,oui,fp fs j fm,null,plus2,a,f d,oui,fp fm,null,plus1,a,f v d,oui,c fp fs j fm,null,min30a60,a,f,oui,fp fm,null,plus1,a,f v,"Oui, champignons,ignames, aframomum alboviolaceum"
7,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a,f,non,,null,null,,,oui,Marécage,null,min30a60,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f d,oui,fp j,null,plus2,a,f d,oui,fp fs fm,null,min30a60,a,f v d,oui,c fp fs j fm,null,minutes30,a,f v d,oui,fp fm,null,min30a60,a,f v d,"Oui: Igname, Champignons, Landolphia lanceolata"
8,c fp fs j fm,null,plus1,a pa,f v d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a,f v d,non,,null,null,,,non,null,null,null,,,null,,oui,fp fs j fm,null,minutes30,a,a f d,non,,null,null,,,oui,j,null,plus2,a,f v d,oui,j,null,plus1,a,f v d,oui,c fp fs j fm,null,plus2,a,f v d,non,,null,null,,,Rien
9,tout,null,minutes30,a,f,oui,tout,null,plus2,a,f,non,,null,null,,,oui,tout,null,plus2,a,,non,,null,null,,,oui,Ruisseaux et foret mateccageuse,null,plus2,a,f v,minutes30,a,non,,null,null,,,oui,fp fm,null,plus1,a,f,oui,fp fs j,null,plus2,pa,f v,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,"Gambeya lacourtiana , Aframomum alboviolaceum"
10,c fp fs j fm tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,fs,null,plus2,a,d,non,,null,null,,,oui,Ruisseaux,null,minutes30,a,a f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,,f v,oui,c,null,minutes30,pa,v,non,,null,null,,,non,,null,null,,,Non
