"","bicyclette","tv","radio","moto","generatrice","cellulaire","voiture","bateau","fusil","panneau","moulin","tronconeuse","houes","machette","tracteur","hache","boeuf","cheval"
"X1",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X2",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X3",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X4",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X5",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X6",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X7",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X8",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X9",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X11",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X12",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X13",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X14",1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"X15",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X16",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X17",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X18",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"X19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X20",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X21",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X22",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X24",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X25",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X26",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X27",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X28",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X29",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X30",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X31",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"X32",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X33",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X34",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X35",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"X36",1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X37",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X38",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X39",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"X40",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X41",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X42",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X43",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X44",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"X45",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X46",1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"X47",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X48",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X49",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X50",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X51",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
